L,U,V,t,β,δ,m,uS,ud,vpx,vpy,Qm,QuS,Qud,Qvpx,Qvpy,I,f,g,g0,ΔT,μ
30,2.5,1.4,1.0,100.0,0.1,0.0021017922760532804,-0.7910309436758135,0.0038827202060735,-6.590411624216038e-20,-5.909057267518336e-19,0.46785530483633647,0.24334192557742274,0.9662353749859416,0.024758800785707677,0.02475880078570755,31,-3.7081986804733247,0.2,0.2,0.543090595,0.6230625815104545
30,2.5,1.6,1.0,100.0,0.1,0.0008629884042667577,-0.791036008519341,0.004422598066047294,-6.501163126581964e-20,-2.8006401995393606e-19,0.210812186562109,0.07149053788346738,0.9404511080645588,0.006490371073168575,0.006490371073168517,37,-3.978119540315211,0.2,0.2,0.648635873,0.655709453470583
30,2.5,1.8,1.0,100.0,0.1,0.0002652563726647994,-0.7910276324935845,0.006130055314247862,-1.2672494721420147e-20,-9.542637483616643e-20,0.07052354618867819,0.022291381720607184,0.9925743090025788,0.0010889035741470149,0.0010889035741469958,45,-4.248670422726447,0.2,0.2,0.783456949,0.6894449571839747
30,2.5,2.0,1.0,100.0,0.1,0.0013744295276270834,-0.790202032564878,0.047869691678981204,3.880464824370024e-19,2.1321254737498813e-19,0.3968183793080328,0.3284305293458356,0.9380109692157426,0.030948500982134607,0.030948500982134558,30,-4.538344904859526,0.2,0.2,0.515124033,0.7515179740723873
30,3.0,1.0,1.0,100.0,0.1,0.008338777710127313,-0.7909258771128349,0.0010687833205311713,-7.681371142756211e-19,-1.1743841037545228e-18,0.9710962777032969,0.3276793349415774,0.3900137249977691,0.03094850098213453,0.03094850098213427,30,-3.1686709301230205,0.2,0.2,0.530385927,0.5587406686254452
30,3.0,1.2,1.0,100.0,0.1,0.007163962533877349,-0.7909564990928566,0.0023275693708427886,-4.933278779684847e-19,-1.4203301625503278e-18,0.9619888322772376,0.3976121887060202,0.7173573004968415,0.038685626227668274,0.038685626227667934,29,-3.4382035756565115,0.2,0.2,0.51379003,0.5907061523969919
30,3.0,1.4,1.0,100.0,0.1,0.004829582456240466,-0.790999802549726,0.003704665266756245,-1.2946806726464262e-19,-1.2886829149216323e-18,0.735127894295223,0.2585079091210529,0.9340320852501333,0.024758800785707705,0.024758800785707483,31,-3.7082065318607556,0.2,0.2,0.537180992,0.6232924282360164
30,3.0,1.6,1.0,100.0,0.1,0.0024097244699231163,-0.7910250342163078,0.004789024610311694,-6.1843268827194e-20,-5.445957465622079e-19,0.4102048519178622,0.09318474981243607,0.9848990570646076,0.008112963841460723,0.00811296384146057,36,-3.978335604145993,0.2,0.2,0.634199046,0.6561392231472402
30,3.0,1.8,1.0,100.0,0.1,0.0007641918265365518,-0.7910296305631864,0.005706219565216686,-1.1818515458314324e-20,-2.3394144870938447e-19,0.1438406722141159,0.022301518374101548,0.9596028919375734,0.0010889035741470205,0.0010889035741469837,45,-4.248429812579596,0.2,0.2,1.425764643,0.6890499642173361
30,3.0,2.0,1.0,100.0,0.1,0.003241675353756084,-0.7901863456007693,0.04790556250823229,8.004075656563397e-19,2.809825415172423e-19,0.6717086797902134,0.41182380183888423,0.9543036350463829,0.03868562622766828,0.03868562622766825,29,-4.538352941803834,0.2,0.2,0.57703462,0.7516603259977296
