L,U,V,t,β,δ,m,uS,ud,vd,Qm,QuS,Qud,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.5,3.1,1.0,100.0,0.0,8.877328045928198e-16,0.3812263278205988,3.469446951953614e-18,NaN,2.1158655082964945e-12,1.1102230246251565e-13,1.408267708727146e-24,711.449033308126,false,100,NaN,0.5,0.5,3.230115895,0.0
128,0.5,3.2,1.0,100.0,0.0,7.74461234494207e-16,0.378678202036221,3.469446951953614e-18,NaN,1.86006910827642e-12,0.0,4.6259292774331515e-15,730.6692235376963,false,100,NaN,0.5,0.5,2.429689253,0.0
128,0.5,3.3,1.0,100.0,0.0,6.926599304632934e-16,0.37599800177639475,2.42861286636753e-17,NaN,1.6739161959447802e-12,0.0,7.216449659445158e-14,749.0642946595071,false,100,NaN,0.5,0.5,2.506601493,0.0
128,0.5,3.4,1.0,100.0,0.0,6.334750644909336e-16,0.3731906761007219,-6.938893903907228e-18,NaN,1.5385562382780556e-12,0.0,1.8503716879123408e-14,766.6400621483327,false,100,NaN,0.5,0.5,1.951284845,0.0
128,0.5,3.5,1.0,100.0,0.0,5.910738027386849e-16,0.37026212142646764,3.469446951953614e-18,NaN,1.441010673038431e-12,0.0,9.253581188645306e-20,783.4051178367844,false,100,NaN,0.5,0.5,2.663041796,0.0
128,0.5,3.6,1.0,100.0,0.0,5.613946338590184e-16,0.3672191118600602,0.0,NaN,1.3724513439475843e-12,0.0,2.957577331990119e-19,799.3708151620771,false,100,NaN,0.5,0.5,1.651733069,0.0
128,0.5,3.7,1.0,100.0,0.0,5.416141074793423e-16,0.364069207620332,3.469446951953614e-18,NaN,1.3266332858721104e-12,0.0,1.4320874984945192e-14,814.5512088549183,false,100,NaN,0.5,0.5,1.279761038,0.0
128,0.5,3.8,1.0,100.0,0.0,5.297340135754337e-16,0.36082064448283646,3.469446951953614e-18,NaN,1.2990107702764693e-12,0.0,8.481153543513554e-15,828.9629433389136,false,100,NaN,0.5,0.5,2.677360611,0.0
128,0.5,3.9,1.0,100.0,0.0,5.242569157226758e-16,0.357482208282043,3.122502256758253e-17,NaN,1.2861972172409713e-12,0.0,8.650097273915896e-14,842.6250887485061,false,100,NaN,0.5,0.5,1.303779511,0.0
128,0.5,4.0,1.0,100.0,0.0,5.240863874344274e-16,0.35406309930700613,2.393918396847994e-16,NaN,1.2857099436978116e-12,1.1102230246251565e-13,6.905611648986945e-13,855.5589277062569,false,100,NaN,0.5,0.5,1.17698136,0.0
128,1.0,0.0,1.0,100.0,0.0,0.060788141970432426,0.40451167085214423,-0.0,0.0,0.8735491693890735,0.029162989202191625,0.0007629394531331942,0.000762939453125,true,19,-1.621750399346752,0.5,0.5,0.92484805,0.0
128,1.0,0.1,1.0,100.0,0.0,0.06346379115668557,0.4044274830010217,-1.4946445168334543e-8,-4.210574642204322e-9,0.9357753837503369,0.03534640582869564,0.000373051978541276,4.999421849024581e-5,true,18,-1.6053883680761332,0.5,0.5,0.25946841,0.0
128,1.0,0.2,1.0,100.0,0.0,0.06624372133018994,0.40433416272216893,-1.3826652683901486e-8,-2.867090325170327e-10,0.9684872058920435,0.043187344598516475,0.00018564522137746667,1.9980005232154484e-6,true,17,-1.5890332741256707,0.5,0.5,0.232779233,0.0
