L,U,V,t,β,δ,m,uS,vS,vd,Qm,QuS,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,1.0,3.2,1.0,100.0,0.0,NaN,0.37867814082897017,NaN,0.2740006123365474,0.09127370555551807,3.509262903004649e-8,9.972752557891635,-4.000000239835591,false,100,NaN,0.5,0.5,1.83528212,0.0
128,1.0,3.3,1.0,100.0,0.0,NaN,0.37599795613024595,NaN,0.2808988687399988,0.0943582052922243,2.7422874517692918e-8,1.0,-4.000000168966822,false,100,NaN,0.5,0.5,1.73228848,0.0
128,1.0,3.4,1.0,100.0,0.0,NaN,0.3731906399535516,0.0,0.28748984333834326,0.09680660769160507,2.256212332426412e-8,-1.0,-4.000000126216334,false,100,NaN,0.5,0.5,1.709550629,0.0
128,1.0,3.5,1.0,100.0,0.0,NaN,0.3702620912150635,6.938893903907228e-18,0.29377677715099426,0.0986887128466875,1.945235157454401e-8,-4.133163550810188,-4.000000099457479,false,100,NaN,0.5,0.5,1.728226032,0.0
128,1.0,3.6,1.0,100.0,0.0,NaN,0.36721908536774467,NaN,0.29976393756089004,0.10007009246265762,1.7490503657604677e-8,2.8376961547872206,-4.0000000822436395,false,100,NaN,0.5,0.5,1.673350123,0.0
128,1.0,3.7,1.0,100.0,0.0,NaN,0.3640691833855447,NaN,0.3054566004190976,0.10101232614776094,1.6322802646479027e-8,1.540289449290461,-4.000000070999419,false,100,NaN,0.5,0.5,1.713714989,0.0
128,1.0,3.8,1.0,100.0,0.0,NaN,0.36082062148133365,1.734723475976807e-18,0.3108610103911241,0.10157314193724656,1.5737019128927666e-8,-1.9662451730333894,-4.000000063663242,false,100,NaN,0.5,0.5,1.695869457,0.0
128,1.0,3.9,1.0,100.0,0.0,NaN,0.35748218574889623,NaN,0.31598432053739145,0.10180648153910568,1.5603982455659163e-8,2.726731809073366,-4.000000059003432,false,100,NaN,0.5,0.5,1.684412475,0.0
128,1.0,4.0,1.0,100.0,0.0,NaN,0.3540630766333419,-1.734723475976807e-18,0.32083451290464293,0.10176251918481505,1.584459487412002e-8,-0.798897029313517,-4.000000056259448,false,100,NaN,0.5,0.5,1.718549405,0.0
128,1.5,0.0,1.0,100.0,0.0,0.12615729327612185,0.40059347779765925,NaN,NaN,4.269865391586996e-11,1.2722320948793733e-12,1.0,1.0,false,100,NaN,0.5,0.5,1.798557472,0.0
128,1.5,0.1,1.0,100.0,0.0,0.1301749417959619,0.4002033232297103,NaN,NaN,4.001793965361305e-11,1.2967752208356195e-12,1.020418748716105,1.1185910343702117,false,100,NaN,0.5,0.5,1.727319458,0.0
128,1.5,0.2,1.0,100.0,0.0,0.13432639636036328,0.39977875282114594,NaN,NaN,3.6310506941993614e-11,1.2801013050067273e-12,1.0416426603645876,1.2353980392953423,false,100,NaN,0.5,0.5,1.706103338,0.0
128,1.5,0.3,1.0,100.0,0.0,0.13861480479487098,0.39931667979586094,NaN,NaN,3.193893037915483e-11,1.225976442952827e-12,1.0637137993940666,1.3395061728395061,false,100,NaN,0.5,0.5,1.807568948,0.0
