L,U,V,t,β,δ,m,uS,vS,vd,Qm,QuS,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.0,3.5,1.0,100.0,0.0,0.0,0.40501001305257767,-2.3995912592071395e-10,9.693522803355793e-27,0.3120356838859201,0.9640780576734009,6.776877892760935e-7,2.0132632690051456e-23,true,127,-1.0466216293309238,0.05,0.05,1.562815684,0.0
128,0.0,3.6,1.0,100.0,0.0,0.0,0.40497234041512087,-6.528349986954934e-11,2.4233807008389483e-27,0.3120356838859201,0.9620659961024902,1.792715745430632e-7,5.027341446887951e-24,true,127,-1.0302199217076964,0.05,0.05,2.183254702,0.0
128,0.0,3.7,1.0,100.0,0.0,0.0,0.4049258244871475,-1.4372576344893217e-11,-1.2116903504194741e-27,0.3120356838859201,0.9591195859044443,3.840630666623102e-8,2.508131239871839e-24,true,127,-1.0138216416103771,0.05,0.05,1.600728216,0.0
128,0.0,3.8,1.0,100.0,0.0,0.0,0.4048675337339065,-2.420372376196901e-12,5.048709793414476e-29,0.3120356838859201,0.9548463140975905,6.298532895736934e-9,1.0073521328807079e-25,true,127,-0.9974276282982879,0.05,0.05,2.137717073,0.0
128,0.0,3.9,1.0,100.0,0.0,0.0,0.40479340153978105,-3.7733473506527765e-13,1.8932661725304283e-29,0.328458614616758,0.9990011043178315,9.569991532119707e-10,3.883366717706275e-26,true,126,-0.9810390135833915,0.05,0.05,1.634973505,0.0
128,0.0,4.0,1.0,100.0,0.0,0.0,0.40469667166525713,-2.9291729328940765e-14,2.3665827156630354e-30,0.328458614616758,0.9895751437477562,7.245109176596975e-11,4.8798829728272895e-27,true,126,-0.9646573626823913,0.05,0.05,1.512092145,0.0
128,0.5,0.0,1.0,100.0,0.0,NaN,NaN,NaN,NaN,1.219726708187003,0.0024398279621085095,0.0005678161132418948,0.0005678161132418948,false,250,NaN,0.05,0.05,4.385458291,0.0
128,0.5,0.1,1.0,100.0,0.0,NaN,NaN,-4.478523291881573e-9,-1.494261210919362e-9,1.3002448584940456,0.0025651587735042725,0.00044207278407667317,1.1972574277494741e-5,false,250,NaN,0.05,0.05,3.755371914,0.0
128,0.5,0.2,1.0,100.0,0.0,NaN,NaN,-6.8999576230874665e-9,-4.100996230154969e-11,1.382547471217659,0.0027114752830792455,0.000340546397857396,2.037462395017207e-7,false,250,NaN,0.05,0.05,3.723386749,0.0
128,0.5,0.3,1.0,100.0,0.0,NaN,NaN,-7.883523840462638e-9,-7.153803088665206e-13,1.4697978532960243,0.0028878821605182736,0.00025939405214132243,2.8281304396774803e-9,false,250,NaN,0.05,0.05,3.73699412,0.0
128,0.5,0.4,1.0,100.0,0.0,NaN,NaN,-7.910800539422701e-9,-9.263561253137853e-15,1.5631560671797509,0.003103430423201381,0.00019521917174702231,3.1920062325672983e-11,false,250,NaN,0.05,0.05,3.743505046,0.0
128,0.5,0.5,1.0,100.0,0.0,NaN,NaN,-7.347138803359978e-9,-9.24451159961375e-17,1.6626973880094973,0.003368122364566517,0.0001450479350969685,2.9038425833165914e-13,false,250,NaN,0.05,0.05,3.725118745,0.0
128,0.5,0.6,1.0,100.0,0.0,NaN,NaN,-6.461433179167211e-9,-7.162925019469253e-19,1.7677982894514082,0.0036936459100189722,0.00010630223354847884,2.104487824106914e-15,false,250,NaN,0.05,0.05,3.742475571,0.0
128,0.5,0.7,1.0,100.0,0.0,NaN,NaN,-5.4440876233625985e-9,-4.2913096203485384e-21,1.8772031323879712,0.004093825734963197,7.677035643057884e-5,1.1985224881006475e-17,false,250,NaN,0.05,0.05,3.756103376,0.0
128,0.5,0.8,1.0,100.0,0.0,NaN,NaN,-4.423073888316745e-9,-1.9593840759849843e-23,1.988922070229408,0.004584789708550474,5.4576126614157656e-5,5.2637905966150134e-20,false,250,NaN,0.05,0.05,5.858399973,0.0
128,0.5,0.9,1.0,100.0,0.0,NaN,NaN,-3.478028610671101e-9,-2.0679515313825692e-25,2.10003949264052,0.00518474108568423,3.8147102322811146e-5,4.845788489278205e-22,false,250,NaN,0.05,0.05,3.730510483,0.0
128,0.5,1.0,1.0,100.0,0.0,NaN,NaN,-2.6523827169964754e-9,-7.754818242684634e-26,2.206476488734045,0.00591308261943535,2.6182435737574272e-5,1.4694817420804422e-22,false,250,NaN,0.05,0.05,3.732262994,0.0
128,0.5,1.1,1.0,100.0,0.0,NaN,NaN,-1.963563107126423e-9,-7.754818242684634e-26,2.3027503543030043,0.006788483078778995,1.7620965326519424e-5,1.8618570999953215e-22,false,250,NaN,0.05,0.05,3.704251991,0.0
