L,U,V,t,β,δ,uS,wd,QuS,Qwd,Converged,I,f,g,g0,ΔT,μ
256,10.0,4.0,1.0,100.0,0.15,0.2776454256744349,0.34436277431605555,0.45840707871736,0.9809387157762028,true,140,-1.7290004087375548,0.05,0.05,263.774287005,0.6960337864200837
256,10.0,4.4,1.0,100.0,0.15,0.26409508970219014,0.35237332406714095,0.4364997574405338,0.9845434216038118,true,137,-1.753425383364287,0.05,0.05,258.407627712,0.7039876284536264
256,10.0,4.8,1.0,100.0,0.15,0.2512799407353384,0.35877383761865955,0.3991461782349992,0.9717703348117723,true,135,-1.7827964465910588,0.05,0.05,255.397447767,0.7121614738036975
256,10.0,5.2,1.0,100.0,0.15,0.2392308440211117,0.36394700270289315,0.36847992942545815,0.9845594320865292,true,133,-1.8165388632012895,0.05,0.05,249.373984949,0.7206743631447957
256,10.0,5.6,1.0,100.0,0.15,0.22794587782698122,0.3681739549992026,0.32779751745320995,0.9671513764905049,true,132,-1.8541835888168405,0.05,0.05,249.007179005,0.7296598714016823
256,10.0,6.0,1.0,100.0,0.15,0.21740258780929134,0.37166342105072525,0.2955134496663292,0.9645386883210261,true,131,-1.8952433410474143,0.05,0.05,245.262974184,0.7390957197640008
256,10.0,6.4,1.0,100.0,0.15,0.20756602159292875,0.3745720966113299,0.27012765959705254,0.9729861719547372,true,130,-1.9393179331404995,0.05,0.05,244.214740657,0.7489846982744996
256,10.0,6.8,1.0,100.0,0.15,0.19839451834231045,0.3770187718673016,0.25023764238557566,0.9899938943539466,true,129,-1.9860574565309723,0.05,0.05,243.937041717,0.7593147190302814
256,10.0,7.2,1.0,100.0,0.15,0.18984298373240063,0.3790945437156825,0.22296749373573732,0.9632094138292135,true,129,-2.035186522932842,0.05,0.05,241.319309561,0.7701105959904475
256,10.0,7.6,1.0,100.0,0.15,0.18186588734438583,0.3808698574012788,0.21139644968054538,0.9914145871130486,true,128,-2.0863700855123266,0.05,0.05,239.767561824,0.7812398425533246
256,10.0,8.0,1.0,100.0,0.15,0.17441891751009683,0.38239967299124134,0.19226747766393215,0.9732042215201409,true,128,-2.1394413970340027,0.05,0.05,239.606374531,0.7927740575388957
256,0.0,4.0,1.0,100.0,0.2,0.25991059956093887,0.3258392538035509,0.5055317097876211,0.9749034877218898,true,142,-1.861918297691755,0.05,0.05,256.528558011,0.9540042115410737
256,0.0,4.4,1.0,100.0,0.2,0.24640651120373344,0.3349817836304381,0.49685915640979017,0.9983909926452039,true,138,-1.8909502556095081,0.05,0.05,249.827849205,0.9696241663147152
256,0.0,4.8,1.0,100.0,0.2,0.23369859740756785,0.34230874494624464,0.4515371766266596,0.9646058476801,true,136,-1.925077219603334,0.05,0.05,247.377821846,0.9857022284428893
256,0.0,5.2,1.0,100.0,0.2,0.22180149603608054,0.34825817796554603,0.41603045815241657,0.9613998186940309,true,134,-1.9636645667304855,0.05,0.05,241.701968929,1.002285117500734
256,0.0,5.6,1.0,100.0,0.2,0.21069603383137936,0.35314946491058596,0.38946547006490917,0.9815546967787414,true,132,-2.006187067566933,0.05,0.05,240.549936972,1.0194272809408405
256,0.0,6.0,1.0,100.0,0.2,0.20034884502832495,0.35721597477630573,0.35242387532774533,0.9696482824277375,true,131,-2.052242906743895,0.05,0.05,238.987825426,1.0372339105117703
256,0.0,6.4,1.0,100.0,0.2,0.19071582928563038,0.3606321952943716,0.3237191551054286,0.9709428612174609,true,130,-2.1013702016439297,0.05,0.05,238.294113902,1.0556186860261094
256,0.0,6.8,1.0,100.0,0.2,0.18174934028060002,0.36352958149221914,0.30157761833210506,0.9822294272372467,true,129,-2.153214496998155,0.05,0.05,234.011932837,1.0745606191835453
256,0.0,7.2,1.0,100.0,0.2,0.1733995475813389,0.36600896451190107,0.2704032782931409,0.9513364406266156,true,129,-2.2075107377166194,0.05,0.05,234.378486069,1.0940928655414959
256,0.0,7.6,1.0,100.0,0.2,0.16561844423876915,0.368148035798281,0.25805764893088723,0.9756702779960547,true,128,-2.263884460236147,0.05,0.05,233.698119199,1.1140307518359023
256,0.0,8.0,1.0,100.0,0.2,0.15835946597599482,0.3700076798436674,0.23632883277785455,0.9549946989455549,true,128,-2.3221992755541336,0.05,0.05,233.39082692,1.134478745988684
