L,U,V,t,β,δ,m,uS,ud,vS,Qm,QuS,Qud,QvS,I,f,g,g0,ΔT,μ
30,2.0,1.2,1.0,100.0,0.1,0.004201211542333609,-0.3955017686786805,0.0008475892527126497,-3.4225820392548924e-5,0.9251726701162811,0.6042927855909319,0.4749069867398498,0.042483931674298536,24,-2.441891312469975,0.2,0.2,0.536170648,0.49414947376414664
30,2.0,1.4,1.0,100.0,0.1,0.003833071013372929,-0.39550426514544923,0.001249727177982813,-3.255063466333797e-5,0.895296834056161,0.6059168464281672,0.600473253906172,0.03648511099843208,24,-2.5453777812209815,0.2,0.2,0.489106617,0.5101843025720443
30,2.0,1.6,1.0,100.0,0.1,0.003945238602996908,-0.39550053365156224,0.002113582729162342,-4.063581823411661e-5,0.9734047784002935,0.7596417215470441,0.8646959306612825,0.04186254309162127,23,-2.6492426447698216,0.2,0.2,0.466051594,0.5268714794708175
30,2.0,1.8,1.0,100.0,0.1,0.003219918532104854,-0.39550285331019364,0.0026198821296934795,-2.8382709726794564e-5,0.8380586244284564,0.6126787154370428,0.929790940819432,0.027256527387093374,24,-2.7531908297360155,0.2,0.2,0.468412277,0.5436595159650407
30,2.0,2.0,1.0,100.0,0.1,0.002315682820295254,-0.395506303552501,0.0028671026601300967,-1.4471133006740164e-5,0.6344579965484076,0.39802181804046155,0.9002188369799449,0.013091633977028623,26,-2.857045717634164,0.2,0.2,0.517146046,0.5602852685012625
30,2.5,1.0,1.0,100.0,0.1,0.007796186235168279,-0.39546461196737376,0.00028740431586619464,-1.2206854149889532e-5,0.9810490641855886,0.2636723907519456,0.19284711197054477,0.01722145108086812,28,-2.339007955990114,0.2,0.2,0.629821328,0.47926942306656806
30,2.5,1.2,1.0,100.0,0.1,0.006889095186836563,-0.39547717989725856,0.00044025235210796944,-1.1522511209481211e-5,0.9406776105592196,0.26198878811041215,0.24813073643960387,0.014313276158287749,28,-2.442242120244601,0.2,0.2,1.271753626,0.49486263814235854
30,2.5,1.4,1.0,100.0,0.1,0.006681941289759673,-0.39548022947571065,0.0007714693693784126,-1.410793690115023e-5,0.9837393255339926,0.324698318611627,0.3754174128170828,0.015823853066005037,27,-2.5455989120482276,0.2,0.2,0.603562826,0.5106969423570819
30,2.5,1.6,1.0,100.0,0.1,0.005978741415943436,-0.3954879086903606,0.0011267950810750803,-1.2988865645584787e-5,0.9442245001313817,0.32465993125092574,0.48164010292670256,0.013395535799841441,27,-2.649050585495366,0.2,0.2,0.520822698,0.526653050948507
30,2.5,1.8,1.0,100.0,0.1,0.005912226871479099,-0.39548608347590664,0.0019013356723642525,-1.587107425636708e-5,0.9965466138062729,0.40547828746667625,0.7025728746534776,0.015250036678444363,26,-2.7529277177066005,0.2,0.2,0.512422774,0.5433610945272117
