L,U,V,t,β,δ,uS,ud,QuS,Qud,Converged,I,f,g,g0,ΔT,μ
128,0.0,5.2,1.0,100.0,0.02,0.3769033277260756,-1.172520709691316e-8,0.8478654878150138,2.3731108515145488e-5,true,59,-0.7594155642432124,0.05,0.05,15.323331352,0.00228081156063702
128,0.0,5.3,1.0,100.0,0.02,0.37059395542021584,-2.4280833413325986e-8,0.6017896180855464,4.91021859287213e-5,true,53,-0.7472833624954627,0.05,0.05,13.869836896,0.002086559750021908
128,0.0,5.4,1.0,100.0,0.02,0.3643241711556162,-3.756676635047196e-8,0.42942031737303044,7.592056930599792e-5,true,48,-0.7351741263674638,0.05,0.05,12.539879995,0.0019386368368684832
128,0.0,5.5,1.0,100.0,0.02,0.358389061451673,-6.567887678166073e-9,0.8045030893018001,1.3266539228677041e-5,true,43,-0.7237880417293332,0.05,0.05,11.263756749,0.0018259491318383938
128,0.0,5.6,1.0,100.0,0.02,0.3521492132089167,-1.3839517032376847e-9,0.2653780030859032,2.794196105010021e-6,true,40,-0.7115650045377814,0.05,0.05,10.466933157,0.0017276468573736974
128,0.0,5.7,1.0,100.0,0.02,0.34617630239657243,-1.1915724976163666e-8,0.001975874673654232,2.4048661159183107e-5,true,37,-0.6998875016926361,0.05,0.05,9.685650662,0.0016478840591700793
128,0.0,5.8,1.0,100.0,0.02,0.34002630761979413,-4.063400400877715e-8,0.9434672184676085,8.198069258816291e-5,true,34,-0.6876681093224561,0.05,0.05,8.893115975,0.0015769453574414286
128,0.0,5.9,1.0,100.0,0.02,0.33467907307967815,4.28864297592757e-6,0.5336920483660634,0.008650032650095838,true,34,-0.6773204217347445,0.05,0.05,8.881773717,0.001522593892080306
128,0.0,6.0,1.0,100.0,0.02,0.32980024391133544,1.5235577559419289e-6,0.5191401873829715,0.0030721879550648654,true,31,-0.6681248098324573,0.05,0.05,8.117303625,0.0014778868413878035
128,0.0,6.1,1.0,100.0,0.02,0.3193205157339899,NaN,1.5543122344752192e-12,625.0336662979397,false,250,NaN,0.05,0.05,65.536919458,0.006145749275176704
128,0.0,6.2,1.0,100.0,0.02,0.31441200722997587,NaN,1.1102230246251565e-12,635.7954490351863,false,250,NaN,0.05,0.05,65.272232527,0.0061566015730141685
128,0.0,6.3,1.0,100.0,0.02,0.30963980095839916,NaN,1.6653345369377348e-12,645.6559013783871,false,250,NaN,0.05,0.05,65.631731798,0.006169023292944047
128,0.0,6.4,1.0,100.0,0.02,0.30499993184495966,NaN,1.5543122344752192e-12,654.7215800542102,false,250,NaN,0.05,0.05,65.705537885,0.006182885519183775
128,0.0,6.5,1.0,100.0,0.02,0.30048827873603756,NaN,3.3306690738754696e-13,663.0825608520632,false,250,NaN,0.05,0.05,65.982783219,0.00619806896451342
128,0.0,6.6,1.0,100.0,0.02,0.29610065739758684,NaN,1.3322676295501878e-12,670.8155947518237,false,250,NaN,0.05,0.05,65.933908556,0.006214464376165726
128,0.0,6.7,1.0,100.0,0.02,0.2918328859040177,NaN,0.0,677.9865467563485,false,250,NaN,0.05,0.05,65.891251964,0.006231972284882478
128,0.0,6.8,1.0,100.0,0.02,0.2876808304478985,NaN,1.6653345369377348e-12,684.652304686736,false,250,NaN,0.05,0.05,66.184467276,0.006250502425965968
128,0.0,6.9,1.0,100.0,0.02,0.28364043712471554,NaN,0.0,690.8622904244494,false,250,NaN,0.05,0.05,66.325894132,0.0062699730170838195
128,0.0,7.0,1.0,100.0,0.02,0.27970775358976613,NaN,4.440892098500626e-13,696.6596689252405,false,250,NaN,0.05,0.05,66.997320617,0.006290309995573523
128,0.0,7.1,1.0,100.0,0.02,0.27587894335646057,NaN,1.7763568394002505e-12,702.0823246472482,false,250,NaN,0.05,0.05,67.339045666,0.006311446270889247
128,0.0,7.2,1.0,100.0,0.02,0.27215029472623786,NaN,2.220446049250313e-13,707.163656982812,false,250,NaN,0.05,0.05,66.575268625,0.006333321020693494
128,0.0,7.3,1.0,100.0,0.02,0.26851822579447654,NaN,3.3306690738754696e-13,711.9332333976115,false,250,NaN,0.05,0.05,65.82742628,0.006355879043504046
128,0.0,7.4,1.0,100.0,0.02,0.2649792865896399,NaN,1.1102230246251565e-12,716.417329652576,false,250,NaN,0.05,0.05,67.089000489,0.006379070171964589
128,0.0,7.5,1.0,100.0,0.02,0.26153015912523814,NaN,1.2212453270876722e-12,720.6393796435101,false,250,NaN,0.05,0.05,68.03398518,0.006402848745924486
128,0.0,7.6,1.0,100.0,0.02,0.25816765594283975,NaN,7.771561172376096e-13,724.620352317312,false,250,NaN,0.05,0.05,67.205558791,0.006427173141959302
128,0.0,7.7,1.0,100.0,0.02,0.25488871757722764,NaN,8.881784197001252e-13,728.3790693149148,false,250,NaN,0.05,0.05,68.389078342,0.006452005354767369
