L,U,V,t,β,δ,m,uS,vx,vy,Qm,QuS,Qvx,Qvy,Converged,I,f,g,g0,ΔT,μ
128,0.5,3.9,1.0,100.0,0.0,4.077683693906528e-11,0.3435089768550885,NaN,5.182812765397101e-19,7.284714330464606e-8,0.0,838.4171906514197,1.3821664475496678e-15,false,100,NaN,0.5,0.5,1.679759724,0.0
128,0.5,4.0,1.0,100.0,0.0,1.6379317132532486e-11,0.3386187605950857,NaN,4.383401058930382e-19,3.0428782431260086e-8,1.1102230246251565e-13,858.7424604714238,2.447143650661078e-16,false,100,NaN,0.5,0.5,1.074884845,0.0
128,1.0,0.0,1.0,100.0,0.0,0.060788141970432426,0.40451167085214423,0.0,0.0,0.8735491693890735,0.029162989202191625,0.000762939453125,0.000762939453125,true,19,-1.621750399346752,0.5,0.5,0.284651265,0.0
128,1.0,0.1,1.0,100.0,0.0,0.0634687918871904,0.40442732090788447,-1.49460824939942e-8,-1.4946082493994194e-8,0.9406715968250934,0.03551252201194899,0.00037374444547614503,0.0003737444454761449,true,18,-1.6053883649219554,0.5,0.5,1.044540081,0.0
128,1.0,0.2,1.0,100.0,0.0,0.06626396280407398,0.40433346235353373,-1.3858684327751971e-8,-1.3858684327751978e-8,0.9885994052966363,0.04391479615151184,0.00018632819147573423,0.0001863281914757343,true,17,-1.5890332608766817,0.5,0.5,0.597876805,0.0
128,1.0,0.3,1.0,100.0,0.0,0.06900297916871054,0.4042354998244194,-3.625058930147269e-9,-3.6250589301472674e-9,0.8378228828942458,0.04042323043462748,3.4736240735754364e-5,3.473624073575435e-5,true,17,-1.5726860453846336,0.5,0.5,0.240950386,0.0
128,1.0,0.4,1.0,100.0,0.0,0.07218099360189245,0.40411426016983787,-6.284053327586749e-9,-6.284053327586748e-9,0.9784022975466711,0.07608914071832729,4.8132670145195656e-5,4.813267014519565e-5,true,15,-1.5563473742958593,0.5,0.5,0.238938507,0.0
128,1.0,0.5,1.0,100.0,0.0,0.0752837509128488,0.4039878173121615,-3.757352269787985e-9,-3.757352269787984e-9,0.8829580693894279,0.11169775523267589,2.4423059183836136e-5,2.4423059183836136e-5,true,14,-1.5400186396740618,0.5,0.5,0.195363344,0.0
128,1.0,0.6,1.0,100.0,0.0,0.07859439586386485,0.4038438919450872,-9.039259484513539e-9,-9.039259484513539e-9,0.8356717939189962,0.33503312304961064,5.177714206968435e-5,5.177714206968434e-5,true,12,-1.5237008834858459,0.5,0.5,0.138170841,0.0
128,1.0,0.7,1.0,100.0,0.0,0.08174382020792845,0.40369810933432426,-5.682516152630086e-9,-5.682516152630083e-9,0.4364946648541257,0.6160012098898049,2.938674543745964e-5,2.938674543745962e-5,true,11,-1.5073956301446199,0.5,0.5,0.130680667,0.0
128,1.0,0.8,1.0,100.0,0.0,0.08489024867889834,0.40354361988879106,-4.252549240012385e-10,-4.25254924001238e-10,0.1783019037925604,0.5868878243550091,2.020657983613958e-6,2.020657983613956e-6,true,11,-1.4911041759161732,0.5,0.5,0.140943742,0.0
128,1.0,0.9,1.0,100.0,0.0,0.08820727715310665,0.40337094416129804,-9.099851587216209e-12,-9.099851587216241e-12,0.8294452778904449,0.5525929522876005,4.026904874339378e-8,4.026904874339392e-8,true,11,-1.4748281348534105,0.5,0.5,0.11134356,0.0
128,1.0,1.0,1.0,100.0,0.0,0.09233381408205371,0.4031416940245113,-3.531737703915855e-19,-3.531737703915877e-19,0.8628412795753104,0.025469399720590147,1.4728229520038205e-15,1.4728229520038292e-15,true,14,-1.4585699347612053,0.5,0.5,0.14760712,0.0
