L,U,V,t,β,δ,uS,wS,ws,QuS,QwS,Qws,I,f,g,g0,ΔT,μ
128,0.5,3.0,1.0,100.0,0.0,0.4444445806684354,0.33882730346200174,-3.401627937660301e-10,0.5692529176267724,0.8685757850824816,1.9513979610257144e-6,12,-1.5781121592675063,0.5,0.5,0.152463924,0.0
128,0.5,3.1,1.0,100.0,0.0,0.4301076445599013,0.34342577278562675,4.871120798388695e-10,0.5521678936176722,0.8823369179024043,2.8798554010928514e-6,12,-1.5918421755116376,0.5,0.5,0.158732389,0.0
128,0.5,3.2,1.0,100.0,0.0,0.4166667800291688,0.34754718399172624,1.8760976244758254e-9,0.5498361494395976,0.9178183191675959,1.1414267947979569e-5,12,-1.6067668448953845,0.5,0.5,0.144464193,0.0
128,0.5,3.3,1.0,100.0,0.0,0.4040405378208492,0.3512575312750216,3.6942880490831165e-9,0.5431610427616418,0.9451050736722921,2.3097949296984905e-5,12,-1.6227775784162475,0.5,0.5,0.142921354,0.0
128,0.5,3.4,1.0,100.0,0.0,0.39215706772570313,0.3546113863559007,5.806621510007215e-9,0.5225709853027283,0.9461907088051946,3.7260129882146005e-5,12,-1.639778569527401,0.5,0.5,0.153124649,0.0
128,0.5,3.5,1.0,100.0,0.0,0.3809527468139342,0.35765426969540337,7.99302774662225e-9,0.4865078405252854,0.9155684724814206,5.257323218602159e-5,12,-1.6576849679664276,0.5,0.5,0.1574413,0.0
128,0.5,3.6,1.0,100.0,0.0,0.37037101744002465,0.36042445401735945,9.820813821892482e-9,0.4381906334320895,0.8566236099535329,6.613203306821044e-5,12,-1.67642134648812,0.5,0.5,0.153270311,0.0
128,0.5,3.7,1.0,100.0,0.0,0.36036139059785766,0.36295435607498555,1.0585620928427186e-8,0.3832991459606916,0.7783402213864532,7.289422567990857e-5,12,-1.69592040060034,0.5,0.5,0.142877729,0.0
128,0.5,3.8,1.0,100.0,0.0,0.35087860468200843,0.36527161914230344,9.42000274312127e-9,0.32872278429552093,0.6932315814602852,6.626182668604663e-5,12,-1.7161218518686485,0.5,0.5,0.151764609,0.0
128,0.5,3.9,1.0,100.0,0.0,0.34188193856028937,0.36739995811746506,5.621302055780486e-9,0.28162005361231923,0.615575404672053,4.034866733723674e-5,12,-1.7369715363997917,0.5,0.5,0.155674507,0.0
128,0.5,4.0,1.0,100.0,0.0,0.3333346595220059,0.3693598240197993,-9.109612231217312e-10,0.24819059219771678,0.5588447120095097,6.665569356653612e-6,12,-1.7584206514268006,0.5,0.5,0.156010726,0.0
128,1.0,0.0,1.0,100.0,0.0,0.8104611861692472,-2.3264454728053903e-25,-5.3835053611716225e-9,0.6971079540900593,0.09765625,1.809871852592249e-5,12,-1.6212287122694498,0.5,0.5,0.142826244,0.0
128,1.0,0.1,1.0,100.0,0.0,0.8104583941315485,1.2953380601787804e-6,-1.152336123998945e-8,0.6971288871746584,0.12009246363485188,3.832407224451966e-5,12,-1.6212285965223554,0.5,0.5,0.146476514,0.0
128,1.0,0.2,1.0,100.0,0.0,0.8104551696271179,3.4380123147655928e-6,-2.4585823670137818e-8,0.6971925049592542,0.14906087579968266,8.086009958196302e-5,12,-1.6212282014900632,0.5,0.5,0.15345084,0.0
128,1.0,0.3,1.0,100.0,0.0,0.8104514211803746,6.945752595031136e-6,-5.2410736071484817e-8,0.6973122904980755,0.18687682147152868,0.000170398417609898,12,-1.6212274384330116,0.5,0.5,0.158789666,0.0
128,1.0,0.4,1.0,100.0,0.0,0.8104470325543607,1.2678231779969298e-5,-1.1189641089795619e-7,0.6975093180299208,0.23682252178700405,0.00035949000051954867,12,-1.6212261893114381,0.5,0.5,0.147191549,0.0
128,1.0,0.5,1.0,100.0,0.0,0.8104418545372094,2.2090194798266426e-5,-2.398357094785343e-7,0.6978179324210743,0.30360850026005887,0.0007610785424709326,12,-1.6212242957484853,0.5,0.5,0.145567043,0.0
128,1.0,0.6,1.0,100.0,0.0,0.8104356933781351,3.7697109363329375e-5,-5.173500356144127e-7,0.6982967550186459,0.3940772564694988,0.001620891271593922,12,-1.6212215431710375,0.5,0.5,0.153216288,0.0
128,1.0,0.7,1.0,100.0,0.0,0.810428293979529,6.395659691806663e-5,-1.126026493076178e-6,0.6990510457571819,0.5182797081553444,0.0034815191863656644,12,-1.6212176375317653,0.5,0.5,0.157871247,0.0
128,1.0,0.8,1.0,100.0,0.0,0.8104193140615157,0.00010899078933117789,-2.4796878693647884e-6,0.7002804693838627,0.6911127208669344,0.0075622693801900304,12,-1.6212121699270965,0.5,0.5,0.144103366,0.0
128,1.0,0.9,1.0,100.0,0.0,0.8104082802016411,0.00018807347241904635,-5.541316343943442e-6,0.702386560432755,0.9347518064159411,0.016659927401723767,12,-1.6212045592744573,0.5,0.5,0.14381605,0.0
128,1.0,1.0,1.0,100.0,0.0,0.8103946148574404,0.00022187228526612953,6.798677282895496e-6,0.3533452887838351,0.8592239304842334,0.020138630059347042,13,-1.6211940208162636,0.5,0.5,0.169661686,0.0
128,1.0,1.1,1.0,100.0,0.0,0.810377430590401,0.00029398849083965486,-1.0226635639652587e-5,0.17923539804143296,0.8745970060858327,0.029828062136071053,14,-1.6211793820665754,0.5,0.5,0.185850823,0.0
128,1.0,1.2,1.0,100.0,0.0,0.8103554220018757,0.00044694819702934,1.9106456792584677e-5,0.09340747454045228,0.9953864107871929,0.05483777705247887,15,-1.621158884335798,0.5,0.5,0.181550813,0.0
128,1.0,1.3,1.0,100.0,0.0,0.8103269113713775,0.0006223185872061684,3.2248688939608236e-5,0.028257526295538682,0.9921909452384395,0.0910156115983288,17,-1.6211300659205679,0.5,0.5,0.212044621,0.0
128,1.0,1.4,1.0,100.0,0.0,0.8102894230786892,0.0008147734774081512,5.399184963270518e-5,0.006894134637613902,0.8572809611308374,0.14973050660478993,21,-1.6210892155834093,0.5,0.5,0.28425461,0.0
128,1.0,1.5,1.0,100.0,0.0,0.8102353639747437,0.0016176824130605732,0.00017659628831892521,0.009586970538544293,0.942256630081185,0.4808270368137186,27,-1.6210277702613822,0.5,0.5,0.330375484,0.0
128,1.0,1.6,1.0,100.0,0.0,0.8101729456647723,0.0006383773446459705,NaN,0.0004033631966215978,0.10949786887876457,3.197222032289727,100,NaN,0.5,0.5,1.286079228,0.0
128,1.0,1.7,1.0,100.0,0.0,0.784324728393825,0.10147957260420923,NaN,0.00501347666315155,0.009798185653775437,1.2830791800897066,100,NaN,0.5,0.5,1.290407489,0.0
128,1.0,1.8,1.0,100.0,0.0,0.7408792114599589,0.16394958684792132,0.0002989392913584077,0.26425015368003457,0.3007761191851088,0.8291555119903278,33,-1.5791070800672784,0.5,0.5,0.428146412,0.0
128,1.0,1.9,1.0,100.0,0.0,0.7018728243229205,0.20239034467084055,-0.00018564045229541373,0.651203412971535,0.5804585294124642,0.5309033527835294,22,-1.5599586905389902,0.5,0.5,0.272402578,0.0
128,1.0,2.0,1.0,100.0,0.0,0.6667054320003186,0.23022952692592374,-7.232040677972174e-5,0.7069342637076037,0.5685596078125466,0.21326037778830925,18,-1.545969068890199,0.5,0.5,0.238542633,0.0
128,1.0,2.1,1.0,100.0,0.0,0.6349286205657839,0.25170596684759333,-2.2207549420297235e-5,0.6534142600116422,0.5370627652440119,0.06750107736142838,16,-1.5364675693785044,0.5,0.5,0.205734445,0.0
128,1.0,2.2,1.0,100.0,0.0,0.606061992404933,0.26892407886050473,4.951902140594433e-6,0.5494799062997213,0.49132543352814473,0.015507416919035587,15,-1.5308300968328579,0.5,0.5,0.181934906,0.0
128,1.0,2.3,1.0,100.0,0.0,0.5797108255222634,0.28308844920768605,-1.4730367155907365e-6,0.6335784282127666,0.6207810228520128,0.004749512070784085,14,-1.5285424130890883,0.5,0.5,0.183594791,0.0
