L,U,V,t,β,δ,uS,wS,wd,ws,QuS,QwS,Qwd,Qws,I,f,g,g0,ΔT,μ
128,1.0,1.4,1.0,100.0,0.0,0.7505745358754699,0.0004476601344237819,0.28262769654666886,-6.361443316560411e-11,0.20028415062389726,0.8646124172324242,0.28974209286758423,4.430964191289259e-7,17,-1.6129848163567473,0.5,0.5,0.244860528,0.0
128,1.0,1.5,1.0,100.0,0.0,0.7391253375650231,0.0005299432167612493,0.2952015369711635,-8.590718414414056e-12,0.05705516266818478,0.8211544721341063,0.072497480844258,6.137307283130026e-8,19,-1.6089726152651647,0.5,0.5,0.284586661,0.0
128,1.0,1.6,1.0,100.0,0.0,0.726939783708568,0.000721138094165118,0.30648888828477194,-1.1898884655359154e-12,0.011957796933526055,0.8831238272490987,0.018294465585988462,8.697668722859958e-9,21,-1.604183020985785,0.5,0.5,0.301927535,0.0
128,1.0,1.7,1.0,100.0,0.0,0.7141152312022555,0.0009426714687905506,0.3166080471425442,-5.342948306008566e-14,0.0011108270625559413,0.8923499995591774,0.00539927001985685,3.9874084400617987e-10,24,-1.5986476387795392,0.5,0.5,0.36194254,0.0
128,1.0,1.8,1.0,100.0,0.0,0.7007649591088505,0.001306119420832334,0.32565955014788706,-7.91033905045424e-16,0.003844716601530962,0.9239435363226104,0.004362338123842235,6.139090952136192e-12,28,-1.5924385587714573,0.5,0.5,0.404866725,0.0
128,1.0,1.9,1.0,100.0,0.0,0.6870064624944058,0.0018912484127141492,0.33373785909629816,-2.7755575615628914e-17,0.005878466496023194,0.9465615993552098,0.005003054606378399,7.895563541706209e-14,34,-1.5856553992491804,0.5,0.5,0.497990889,0.0
128,1.0,2.0,1.0,100.0,0.0,0.6729536528912927,0.0029683190068065628,0.3409316932512043,0.0,0.009173191251932167,0.9520079003288683,0.006515621214120415,9.512963015856942e-15,44,-1.5784164669026328,0.5,0.5,0.634323732,0.0
128,1.0,2.1,1.0,100.0,0.0,0.6586893833482095,0.006054058200318879,0.34731050842953237,1.3877787807814457e-17,0.019134130884612688,0.9935264066027599,0.01187114440970305,6.1230295173282485e-15,62,-1.5708494779344093,0.5,0.5,0.902929714,0.0
128,1.0,2.2,1.0,100.0,0.0,0.6433143765882329,0.027183948547889955,0.3523975544089596,1.3877787807814457e-17,0.08394788056320657,0.996673836602624,0.04774374841698403,3.484078849927329e-14,81,-1.5630902548609233,0.5,0.5,1.183281947,0.0
128,1.0,2.3,1.0,100.0,0.0,0.6189829031029569,0.08604098962244963,0.35174060702377885,-1.5241389712816744e-8,0.11470228564469664,0.9979585897705867,0.3724249496983578,0.0001300640557315006,14,-1.5565844123422345,0.5,0.5,0.19781726,0.0
128,1.0,2.4,1.0,100.0,0.0,0.5960503565403004,0.11588698569874072,0.3511150530113687,-7.363554210826351e-14,0.29986129978620824,0.9550152304761139,0.2112027567016117,6.567951008359716e-10,26,-1.5524451297982294,0.5,0.5,0.382945219,0.0
