L,U,V,t,β,δ,m,uS,ud,vS,vd,Qm,QuS,Qud,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,2.5,3.0,1.0,100.0,0.0,0.37359362951735103,0.3080963067208262,-4.650758771151953e-11,-4.892741979483925e-9,-1.6192336267780726e-12,0.9864624424118507,0.5959176183261139,1.676058337619788e-7,2.1164616904695072e-5,5.4682338723269256e-9,true,168,-1.2965457512326952,0.05,0.05,2.645975919,0.0
128,2.5,3.1,1.0,100.0,0.0,0.3771065861069741,0.30500260489081477,-3.824984773359574e-11,-4.255857802812402e-9,-1.3044000257825137e-12,0.9965874898110183,0.5982907433703666,1.358886519833473e-7,1.7996184605112235e-5,4.3562722615140665e-9,true,166,-1.287151458901677,0.05,0.05,2.615657507,0.0
128,2.5,3.2,1.0,100.0,0.0,0.3805236558765618,0.3019046043044168,-2.7984376968492874e-11,-3.3458864987953207e-9,-9.269809864706847e-13,0.9644480585810911,0.5750399351281965,9.807963863523449e-8,1.3846870983536614e-5,3.063259102047337e-9,true,165,-1.2779456166273753,0.05,0.05,2.600649236,0.0
128,2.5,3.3,1.0,100.0,0.0,0.38384001067011436,0.29881094572899125,-2.3281866018409758e-11,-2.909484253157662e-9,-7.601853994802361e-13,0.9806988284104534,0.5772800875704087,8.055015043963328e-8,1.1796649495757058e-5,2.4868103492942037e-9,true,163,-1.268926341987429,0.05,0.05,2.567802656,0.0
128,2.5,3.4,1.0,100.0,0.0,0.3870605554887393,0.29572145955393014,-1.7154279732811695e-11,-2.278666347707845e-9,-5.47294032127258e-13,0.9546565075791991,0.5544135098195513,5.862501803175155e-8,9.060961010790685e-6,1.773211293746237e-9,true,162,-1.2600915138167672,0.05,0.05,2.553947601,0.0
128,2.5,3.5,1.0,100.0,0.0,0.39018243394658286,0.292643357857628,-1.4442303256090305e-11,-1.983645635570653e-9,-4.566587096963964e-13,0.9781989838666405,0.5573285642227477,4.878032678082249e-8,7.74293343858395e-6,1.4659490696157809e-9,true,160,-1.2514387958972468,0.05,0.05,2.520374946,0.0
128,2.5,3.6,1.0,100.0,0.0,0.393210048386308,0.28957685345200523,-1.0720199034031097e-11,-1.5496051457364246e-9,-3.329072420319017e-13,0.958885895348649,0.53564264254502,3.58054207936724e-8,5.942993855179666e-6,1.0592920234413698e-9,true,159,-1.2429656596126968,0.05,0.05,2.501294944,0.0
128,2.5,3.7,1.0,100.0,0.0,0.3961420910631199,0.28652784221662053,-9.136072107174265e-12,-1.3522387535459393e-9,-2.824908285805131e-13,0.9906968241635283,0.5398768074016402,3.018881972747455e-8,5.0995033498957876e-6,8.912673966908656e-10,true,157,-1.2346694074029712,0.05,0.05,2.472947191,0.0
128,2.5,3.8,1.0,100.0,0.0,0.3989825596351765,0.2834967673264227,-6.833589250021532e-12,-1.0549155155628777e-9,-2.0843357837523597e-13,0.9784866737885256,0.5199343035754422,2.2350435829138147e-8,3.914996662946672e-6,6.522853601648237e-10,true,156,-1.2265471942888317,0.05,0.05,2.45349063,0.0
128,2.5,3.9,1.0,100.0,0.0,0.40173206446498855,0.2804875252207655,-5.125386226545459e-12,-8.218290798276475e-10,-1.5451997837795684e-13,0.9699638302848035,0.5013232828529057,1.6599707933601047e-8,3.0036616338666064e-6,4.797955011441313e-10,true,155,-1.218596049701135,0.05,0.05,2.439894871,0.0
128,2.5,4.0,1.0,100.0,0.0,0.40439263841584405,0.2775024613579881,-3.854886895804377e-12,-6.395160864703643e-10,-1.1508328310393513e-13,0.9650371254521506,0.48408531455435,1.2367898308546702e-8,2.30342643808079e-6,3.5465977581063015e-10,true,154,-1.2108128974156012,0.05,0.05,2.424311505,0.0
128,3.0,0.0,1.0,100.0,0.0,0.282623245658412,0.3642429311481627,3.469446951953614e-18,0.0,0.0,0.9785703938066659,0.3863534001085078,0.006010655945005539,0.006010655945017898,0.006010655945017898,true,204,-1.696599744237354,0.05,0.05,3.208564453,0.0
128,3.0,0.1,1.0,100.0,0.0,0.28682295562414584,0.3624358926250014,-7.305941480614808e-8,-4.779236251311411e-8,-8.290175299737715e-8,0.9904417895991724,0.40351952139683345,0.004375860445113461,0.005274519347733939,0.0037689458104351323,true,203,-1.6834101395014405,0.05,0.05,3.190968775,0.0
128,3.0,0.2,1.0,100.0,0.0,0.2910440281585215,0.3605585747767379,-9.747893782788286e-8,-7.882408213422179e-8,-9.407639447949257e-8,0.9721757473597492,0.4093087885854718,0.003014893443760128,0.004372241918164261,0.0022458990728639154,true,203,-1.6703539843811612,0.05,0.05,3.190398343,0.0
128,3.0,0.3,1.0,100.0,0.0,0.2952602718174073,0.35862040828313835,-1.0297231661099415e-7,-1.0233197172590826e-7,-8.51486087993595e-8,0.97949378119222,0.42533318499626827,0.0021905968455559867,0.0038045317351508546,0.001419963338549309,true,202,-1.65743523806672,0.05,0.05,3.185939632,0.0
128,3.0,0.4,1.0,100.0,0.0,0.2994780632183397,0.3566165912713821,-9.679706817686262e-8,-1.17622714877923e-7,-6.904090337199808e-8,0.984532306009811,0.44079532863561255,0.001592023867216782,0.0032981507521275713,0.0009029372169630421,true,201,-1.6446578328823593,0.05,0.05,3.163490134,0.0
128,3.0,0.5,1.0,100.0,0.0,0.30369266462878286,0.35454738274060915,-8.541081911866977e-8,-1.2624568805000934e-7,-5.2894059053684206e-8,0.9871087533698253,0.4555003389600243,0.0011574671822143195,0.002848442935184864,0.0005775911615623598,true,200,-1.6320255975021638,0.05,0.05,3.146661603,0.0
128,3.0,0.6,1.0,100.0,0.0,0.30789919516990527,0.35241333094619076,-7.244719256796484e-8,-1.2956369149606786e-7,-3.920908376844588e-8,0.9870842381480838,0.4692554531122717,0.0008419942799871862,0.0024508072280837413,0.00037173913716522747,true,199,-1.619542249784724,0.05,0.05,3.132811899,0.0
128,3.0,0.7,1.0,100.0,0.0,0.3120926645354922,0.3502152847522846,-5.983125311512238e-8,-1.2876098465670297e-7,-2.8480036733228604e-8,0.9843659633586022,0.4818739299051744,0.0006129358716186777,0.0021007507027794173,0.00024075087832282308,true,198,-1.6072113753612869,0.05,0.05,3.11475491,0.0
128,3.0,0.8,1.0,100.0,0.0,0.31626801009028344,0.34795440124630606,-4.8479126522199545e-8,-1.248535325870794e-7,-2.042402726304595e-8,0.9789090982981197,0.4931792788235301,0.00044656638605901957,0.0017939307104915647,0.00015691082200348732,true,197,-1.5950364063425477,0.05,0.05,3.102865976,0.0
128,3.0,0.9,1.0,100.0,0.0,0.3204201368344375,0.34563214912460105,-3.8730882851584214e-8,-1.1870087108945219e-7,-1.4530863536536231e-8,0.9707178396085592,0.503009625336226,0.00032567022638385585,0.0015261882321239652,0.00010292595342563293,true,196,-1.5830206004650016,0.05,0.05,3.086010181,0.0
128,3.0,1.0,1.0,100.0,0.0,0.32453515236875197,0.3432554762054991,-3.282599269835429e-8,-1.1815351182435447e-7,-1.1085761226172948e-8,0.9918222537731447,0.5272469239552269,0.00025493368534566205,0.0013766765093522102,7.320409760980125e-5,true,194,-1.5711670129103261,0.05,0.05,3.054901436,0.0
128,3.0,1.1,1.0,100.0,0.0,0.3286260456116663,0.3408160495135133,-2.578190509347489e-8,-1.0911133540939628e-7,-7.84906125003451e-9,0.9785180855903519,0.5342284805777142,0.00018669270685126602,0.0011640009394295707,4.8750936501355094e-5,true,193,-1.55947851061543,0.05,0.05,3.039318697,0.0
128,3.0,1.2,1.0,100.0,0.0,0.33267044165977067,0.33832662585291506,-2.165491430963784e-8,-1.0621125389525987e-7,-6.009091420289252e-9,0.9960034815497121,0.5568640071493824,0.00014733504746815764,0.001046262222926317,3.535594189497511e-5,true,191,-1.547957696659376,0.05,0.05,3.007015997,0.0
128,3.0,1.3,1.0,100.0,0.0,0.33668049987740034,0.33577941145321044,-1.684711803048855e-8,-9.59884548849464e-8,-4.263222723477344e-9,0.9778788999320609,0.5604772708712735,0.00010839555607303043,0.0008794323966113418,2.3903495319454145e-5,true,190,-1.5366069575069246,0.05,0.05,2.988781514,0.0
128,3.0,1.4,1.0,100.0,0.0,0.3406353246892049,0.3331876329843022,-1.410461228715243e-8,-9.191504154161808e-8,-3.2915772649741734e-9,0.9920161556100648,0.5810169930542397,8.62805905012584e-5,0.0007880274481292585,1.767342263705074e-5,true,188,-1.5254283914616777,0.05,0.05,2.956306795,0.0
